package_id,tracking_number,timestamp,Origin Location,Origin City,Origin Prefecture,Origin Longitude,Origin Latitude,Order Date,Current Location,Estimated Delivery Date,Delivery Exception Reason,Status,Perishable,Temperature,Temperature Issue,Current Longitude,Current Latitude,Delivery Longitude,Delivery Latitude,Delivery City,Delivery Prefecture,Route Distance KM,Estimated Transit Hours,RFID #,RFID Verified,RFID Failure %,RFID Failure Label,RFID Success %,RFID Success Label
PKG033,KZJP2026000033,2026-05-04 11:51:30.417739,"Ichihara, Chiba",Ichihara,Chiba,140.1109,35.7272,2026-05-03 10:41:01.319632,"Kofu, Yamanashi",2026-05-04 20:13:22.439322,None,Delivered,NO,25.6,Ambient,138.6736,35.7214,138.6736,35.7214,Kofu,Yamanashi,129.75,33.54,RFID-KZ-0033,YES,1.98,Low Risk,98.02,Excellent
PKG023,KZJP2026000023,2026-05-04 19:54:40.370163,"Ureshino, Saga",Ureshino,Saga,130.3639,33.3656,2026-05-03 07:38:33.276989,"Sakaide, Kagawa",2026-05-04 22:43:34.108125,None,Delivered,YES,6.5,Cool,133.976,34.4398,133.976,34.4398,Sakaide,Kagawa,354.09,39.08,RFID-KZ-0023,YES,0.91,Low Risk,99.09,Excellent
PKG001,KZJP2026000001,2026-05-05 01:20:39.131540,"Yokote, Akita",Yokote,Akita,140.0319,39.8156,2026-05-03 22:25:43.823106,"Minamisoma, Fukushima",2026-05-05 02:18:47.636072,None,Delivered,NO,16.2,Ambient,140.4328,37.8648,140.4328,37.8648,Minamisoma,Fukushima,219.68,27.88,RFID-KZ-0001,YES,2.66,Low Risk,97.34,Excellent
PKG039,KZJP2026000039,2026-05-05 09:19:14.119968,"Kazuno, Akita",Kazuno,Akita,140.1956,39.6428,2026-05-03 10:32:15.317110,"Hida, Gifu",2026-05-05 12:53:28.111558,None,Delivered,NO,23.1,Ambient,136.7642,35.5355,136.7642,35.5355,Hida,Gifu,547.61,50.35,RFID-KZ-0039,YES,0.92,Low Risk,99.08,Excellent
PKG002,KZJP2026000002,2026-05-05 09:27:46.895510,"Etajima, Hiroshima",Etajima,Hiroshima,132.4169,34.2766,2026-05-04 07:17:03.020266,"Transit Scan near Ogori, Fukuoka",2026-05-06 04:27:51.066871,Shipment still within estimated delivery window,In Transit,YES,5.6,Cool,131.486039,33.920485,130.52,33.5703,Ogori,Fukuoka,191.83,45.18,RFID-KZ-0002,YES,2.65,Low Risk,97.35,Excellent
PKG038,KZJP2026000038,2026-05-05 15:25:33.695454,"Chuo, Tokyo",Chuo,Tokyo,139.718,35.8066,2026-05-05 08:02:21.344755,"Mitaka, Tokyo",2026-05-06 00:12:37.997713,None,Delivered,NO,21.7,Ambient,139.5933,35.6209,139.5933,35.6209,Mitaka,Tokyo,23.52,16.17,RFID-KZ-0038,YES,2.1,Low Risk,97.9,Excellent
PKG048,KZJP2026000048,2026-05-06 03:23:16.354896,"Katsuyama, Fukui",Katsuyama,Fukui,136.1345,35.9827,2026-05-04 07:28:34.957924,"Shingu, Wakayama",2026-05-06 00:05:50.963962,None,Delivered,NO,15.7,Ambient,135.2639,34.1547,135.2639,34.1547,Shingu,Wakayama,218.16,40.62,RFID-KZ-0048,YES,2.44,Low Risk,97.56,Excellent
PKG043,KZJP2026000043,2026-05-06 12:15:35.230762,"Shizuoka, Shizuoka",Shizuoka,Shizuoka,138.4878,35.0331,2026-05-04 10:35:47.761226,"Yukuhashi, Fukuoka",2026-05-06 09:28:42.420598,None,Delivered,YES,4.8,Cool,130.2924,33.5407,130.2924,33.5407,Yukuhashi,Fukuoka,770.75,46.88,RFID-KZ-0043,YES,0.73,Low Risk,99.27,Excellent
PKG037,KZJP2026000037,2026-05-06 16:22:14.872867,"Hitachiomiya, Ibaraki",Hitachiomiya,Ibaraki,140.4731,36.2243,2026-05-04 18:49:39.876246,"Tsuruga, Fukui",2026-05-06 11:37:23.795346,None,Delivered,NO,24.4,Ambient,136.2479,36.1823,136.2479,36.1823,Tsuruga,Fukui,379.11,40.8,RFID-KZ-0037,YES,1.58,Low Risk,98.42,Excellent
PKG003,KZJP2026000003,2026-05-06 17:43:21.460887,"Koriyama, Fukushima",Koriyama,Fukushima,140.3972,37.847,2026-05-05 03:33:41.939518,"Kikugawa, Shizuoka",2026-05-06 16:57:58.020909,None,Delivered,NO,20.9,Ambient,138.4088,34.8585,138.4088,34.8585,Kikugawa,Shizuoka,376.98,37.4,RFID-KZ-0003,YES,0.28,Low Risk,99.72,Excellent
PKG004,KZJP2026000004,2026-05-06 22:14:45.074052,"Noda, Chiba",Noda,Chiba,140.2247,35.6272,2026-05-06 14:30:15.212059,"Hasuda, Saitama",2026-05-07 02:36:43.964444,None,Delivered,NO,18.1,Ambient,139.5449,35.9266,139.5449,35.9266,Hasuda,Saitama,69.78,12.11,RFID-KZ-0004,YES,2.0,Low Risk,98.0,Excellent
PKG024,KZJP2026000024,2026-05-06 22:26:27.813184,"Hino, Tokyo",Hino,Tokyo,139.64,35.5812,2026-05-05 20:24:24.279987,"Ueda, Nagano",2026-05-06 22:51:25.074085,None,Delivered,NO,16.7,Ambient,138.1104,36.7483,138.1104,36.7483,Ueda,Nagano,188.93,26.45,RFID-KZ-0024,YES,1.05,Low Risk,98.95,Excellent
PKG011,KZJP2026000011,2026-05-07 01:02:00.155584,"Kani, Gifu",Kani,Gifu,136.8229,35.3136,2026-05-05 08:03:19.383696,"Shiogama, Miyagi",2026-05-07 05:12:43.603034,None,Delivered,NO,13.5,Ambient,140.8013,38.3659,140.8013,38.3659,Shiogama,Miyagi,490.35,45.16,RFID-KZ-0011,YES,0.16,Low Risk,99.84,Excellent
PKG032,KZJP2026000032,2026-05-07 12:38:16.829073,"Toba, Mie",Toba,Mie,136.4736,34.8451,2026-05-06 03:46:39.238924,"Takahashi, Okayama",2026-05-07 07:58:45.274407,None,Delivered,NO,21.9,Ambient,134.0379,34.675,134.0379,34.675,Takahashi,Okayama,223.3,28.2,RFID-KZ-0032,YES,0.55,Low Risk,99.45,Excellent
PKG045,KZJP2026000045,2026-05-07 15:58:32.696779,"Etajima, Hiroshima",Etajima,Hiroshima,132.4169,34.2766,2026-05-03 21:31:05.421590,"Ishinomaki, Miyagi",2026-05-07 18:50:44.903417,None,Delivered,NO,23.0,Ambient,140.8982,38.386,140.8982,38.386,Ishinomaki,Miyagi,886.0,93.33,RFID-KZ-0045,YES,0.89,Low Risk,99.11,Excellent
PKG016,KZJP2026000016,2026-05-07 16:16:08.939225,"Ako, Hyogo",Ako,Hyogo,135.0861,34.6407,2026-05-06 16:31:27.065783,"Kato, Hyogo",2026-05-07 11:52:23.561627,None,Delivered,NO,23.2,Ambient,135.182,34.571,135.182,34.571,Kato,Hyogo,11.71,19.35,RFID-KZ-0016,YES,2.08,Low Risk,97.92,Excellent
PKG040,KZJP2026000040,2026-05-07 16:32:56.725776,"Chigasaki, Kanagawa",Chigasaki,Kanagawa,139.7056,35.5499,2026-05-05 07:34:32.954355,"Ako, Hyogo",2026-05-07 17:35:17.283188,None,Delivered,YES,5.8,Cool,135.0861,34.6407,135.0861,34.6407,Ako,Hyogo,432.22,58.01,RFID-KZ-0040,YES,1.47,Low Risk,98.53,Excellent
PKG008,KZJP2026000008,2026-05-07 17:35:37.728960,"Yokote, Akita",Yokote,Akita,140.0319,39.8156,2026-05-06 10:47:47.795491,"Kesennuma, Miyagi",2026-05-07 19:35:33.238304,None,Delivered,NO,19.4,Ambient,140.7524,38.2799,140.7524,38.2799,Kesennuma,Miyagi,181.74,32.8,RFID-KZ-0008,YES,2.16,Low Risk,97.84,Excellent
PKG020,KZJP2026000020,2026-05-07 23:35:43.903348,"Murakami, Niigata",Murakami,Niigata,138.9271,37.9657,2026-05-06 19:29:32.240496,"Adachi, Tokyo",2026-05-08 02:12:01.286507,None,Delivered,NO,19.6,Ambient,139.718,35.5724,139.718,35.5724,Adachi,Tokyo,275.29,30.71,RFID-KZ-0020,YES,2.28,Low Risk,97.72,Excellent
PKG026,KZJP2026000026,2026-05-08 03:48:47.147648,"Kasukabe, Saitama",Kasukabe,Saitama,139.5363,35.8119,2026-05-06 05:27:40.892641,"Fukushima, Fukushima",2026-05-08 02:13:55.592073,None,Delivered,NO,16.8,Ambient,140.5731,37.8075,140.5731,37.8075,Fukushima,Fukushima,240.33,44.77,RFID-KZ-0026,YES,2.22,Low Risk,97.78,Excellent
PKG021,KZJP2026000021,2026-05-08 06:36:29.603314,"Odate, Akita",Odate,Akita,139.983,39.7296,2026-05-04 22:21:47.557394,"Mihara, Hiroshima",2026-05-08 06:49:24.522887,None,Delivered,NO,20.8,Ambient,132.3324,34.4024,132.3324,34.4024,Mihara,Hiroshima,900.29,80.46,RFID-KZ-0021,YES,0.97,Low Risk,99.03,Excellent
