timestamp,package_id,order_date,expected_delivery_date,origin,current_location,delivery_location,temperature,temperature_celsius,humidity,perishable,temperature_issue,status
2026-06-18 12:34:36,PKG1191,2026-05-02 23:26:26.862041,2026-05-07 23:26:26.862045,Osaka,Nagoya Central Post Office,Kyoto,-2.0°C,-2.0,74.0,No,Not Applicable,Storage
2026-06-18 12:34:54,PKG1198,2026-05-02 23:26:26.867367,2026-05-05 23:26:26.867371,Osaka,Osaka Central Post Office,Yokohama,-3.4°C,-3.4,30.0,No,Not Applicable,Hold at Yamato
2026-06-18 12:34:45,PKG1329,2026-05-02 23:26:26.864535,2026-05-06 23:26:26.864538,Osaka,Osaka Central Post Office,Kyoto,7.9°C,7.9,80.0,Yes,Normal,In Transit
2026-06-05 11:20:36,PKG1347,2026-04-30 23:26:26.859972,2026-05-07 23:26:26.859975,Nagoya,Nagoya Central Post Office,Tokyo,18.8°C,18.8,76.0,No,Not Applicable,Returned to the sender
2026-06-18 12:34:31,PKG1643,2026-04-30 23:26:26.860885,2026-05-05 23:26:26.860888,Fukuoka,Sapporo Central Post Office,Tokyo,14.8°C,14.8,74.0,No,Not Applicable,Arrival
2026-06-18 12:34:39,PKG1689,2026-04-28 23:26:26.862810,2026-05-08 23:26:26.862814,Osaka,Osaka Central Post Office,Osaka,-2.5°C,-2.5,77.0,Yes,Normal,Arrival Scan
2026-06-18 12:34:46,PKG1717,2026-05-01 23:26:26.864832,2026-05-07 23:26:26.864835,Osaka,Tokyo Central Post Office,Sapporo,-4.6°C,-4.6,47.0,Yes,Normal,Arrival
2026-06-05 11:20:34,PKG1749,2026-05-02 23:26:26.858823,2026-05-07 23:26:26.858827,Tokyo,Fukuoka Distribution Center,Yokohama,19.6°C,19.6,34.0,Yes,Temperature Alert,Arrival
2026-06-05 11:20:34,PKG1803,2026-05-03 23:26:26.858921,2026-05-05 23:26:26.858924,Tokyo,Sapporo Central Post Office,Sapporo,22.6°C,22.6,55.0,Yes,Temperature Alert,Hand it over at the window
2026-06-18 12:34:34,PKG2083,2026-05-01 23:26:26.861610,2026-05-08 23:26:26.861614,Osaka,Yokohama Sales Office,Osaka,1.5°C,1.5,63.0,No,Not Applicable,Storage
2026-06-05 11:20:34,PKG2151,2026-05-01 23:26:26.859026,2026-05-06 23:26:26.859030,Osaka,Yokohama Sales Office,Yokohama,23.0°C,23.0,89.0,No,Not Applicable,In Transit
2026-06-18 12:34:50,PKG2183,2026-04-30 23:26:26.866095,2026-05-05 23:26:26.866098,Fukuoka,Osaka Central Post Office,Osaka,24.5°C,24.5,35.0,No,Not Applicable,Delay
2026-06-18 12:34:31,PKG2220,2026-05-01 23:26:26.860788,2026-05-08 23:26:26.860792,Fukuoka,Nagoya Central Post Office,Sapporo,14.2°C,14.2,85.0,No,Not Applicable,Delivered to the delivery address
2026-06-18 12:34:50,PKG2282,2026-04-29 23:26:26.866203,2026-05-07 23:26:26.866206,Osaka,Fukuoka Distribution Center,Osaka,5.1°C,5.1,30.0,No,Not Applicable,Bring it back due to your absence
2026-06-18 12:34:56,PKG2329,2026-04-30 23:26:26.867887,2026-05-05 23:26:26.867891,Fukuoka,Naha Central Post Office,Osaka,4.2°C,4.2,84.0,No,Not Applicable,Hold at Yamato
2026-06-05 11:20:35,PKG2377,2026-04-30 23:26:26.859462,2026-05-08 23:26:26.859466,Nagoya,Osaka Central Post Office,Sapporo,9.4°C,9.4,81.0,No,Not Applicable,Returned
2026-06-18 12:34:44,PKG2439,2026-04-29 23:26:26.864145,2026-05-07 23:26:26.864149,Osaka,Yokohama Sales Office,Osaka,9.8°C,9.8,76.0,No,Not Applicable,In Transit
2026-06-18 12:34:35,PKG2550,2026-04-28 23:26:26.861712,2026-05-06 23:26:26.861715,Osaka,Naha Central Post Office,Osaka,11.2°C,11.2,65.0,No,Not Applicable,Delay
2026-06-05 11:20:35,PKG2585,2026-05-02 23:26:26.859138,2026-05-05 23:26:26.859141,Tokyo,Yokohama Sales Office,Yokohama,8.3°C,8.3,73.0,Yes,Temperature Alert,Arrival Scan
2026-06-05 11:20:33,PKG2659,2026-04-28 23:26:26.858141,2026-05-07 23:26:26.858146,Tokyo,Nagoya Central Post Office,Kyoto,6.2°C,6.2,82.0,Yes,Normal,Arrival
