timestamp,asset_id,shipment_id,latitude,longitude,shipment_status,inventory_level,waiting_time,temperature,humidity,traffic_status,demand_forecast,asset_utilization,logistics_delay_reason,logistics_delay,rfid_tag,rfid_verified,tamper_alert
2026-05-04 15:42:12.730007,TRUCK344,SHP4147,35.353926,139.411921,Out for Delivery,238,75,20.8,85,Clear,184,54.26,Mechanical Failure,0,RFID208288,False,No
2026-05-04 10:09:12.731395,TRUCK412,SHP6541,35.34831,139.095461,In Transit,82,33,17.3,85,Detour,226,90.57,Traffic,1,RFID252723,True,Yes
2026-05-04 11:46:12.731581,TRUCK830,SHP8910,35.844433,139.798511,Out for Delivery,474,106,8.3,63,Heavy,152,62.72,None,1,RFID485390,False,No
2026-05-04 01:44:12.731706,TRUCK878,SHP8090,35.787743,139.869721,Out for Delivery,452,85,1.0,53,Heavy,138,87.25,Traffic,0,RFID973827,False,Yes
2026-05-04 19:53:12.731804,TRUCK197,SHP5767,35.148404,139.187463,In Transit,333,97,-0.2,32,Heavy,235,93.44,Traffic,1,RFID101636,True,No
2026-05-04 03:17:12.731892,TRUCK126,SHP2407,35.708577,139.87976,In Transit,345,2,16.4,38,Moderate,78,89.4,Traffic,1,RFID529528,False,Yes
2026-05-04 14:36:12.731980,TRUCK992,SHP6770,35.064679,139.90831,Delayed,336,75,0.5,51,Clear,282,75.36,Traffic,1,RFID336102,False,Yes
2026-05-04 02:49:12.732084,TRUCK474,SHP4992,35.677054,139.463352,Out for Delivery,28,73,16.5,63,Moderate,234,56.7,Mechanical Failure,1,RFID259960,False,No
2026-05-04 03:41:12.732183,TRUCK462,SHP8087,35.95721,139.297908,In Transit,35,77,-0.9,51,Detour,111,58.4,Traffic,0,RFID753780,False,No
2026-05-04 10:21:12.732292,TRUCK214,SHP7190,35.232557,139.77855,Delayed,57,17,1.1,63,Moderate,77,73.28,Traffic,0,RFID778864,False,No
2026-05-03 23:22:12.732465,TRUCK455,SHP8199,35.915003,139.301246,Delivered,201,68,6.8,71,Moderate,75,90.03,None,0,RFID303728,False,Yes
2026-05-04 04:28:12.732577,TRUCK585,SHP9670,35.539933,139.973168,Delayed,393,0,15.5,62,Clear,255,67.71,Traffic,0,RFID269917,True,No
2026-05-04 02:40:12.732697,TRUCK149,SHP3385,35.439819,139.541441,Delayed,440,88,6.1,32,Clear,169,97.24,None,0,RFID213728,False,Yes
2026-05-04 17:54:12.732786,TRUCK957,SHP6846,35.000961,139.792437,Delayed,416,31,19.3,49,Heavy,291,78.79,Mechanical Failure,0,RFID680486,False,Yes
2026-05-04 19:23:12.732884,TRUCK442,SHP6411,35.569236,139.571609,Out for Delivery,411,48,18.5,54,Heavy,181,92.39,Mechanical Failure,1,RFID905391,False,Yes
2026-05-04 15:19:12.732993,TRUCK478,SHP5051,35.464325,139.642039,Delivered,300,112,10.9,82,Heavy,118,91.28,Mechanical Failure,1,RFID462839,True,No
2026-05-04 11:18:12.733123,TRUCK960,SHP2810,35.88956,139.897454,Delivered,85,100,20.2,47,Heavy,112,92.16,None,1,RFID185612,False,No
2026-05-04 16:17:12.733249,TRUCK433,SHP5878,35.042123,139.746518,In Transit,78,42,19.4,50,Detour,145,54.72,Mechanical Failure,0,RFID521113,True,Yes
2026-05-04 21:38:12.733410,TRUCK718,SHP1478,35.935482,139.804604,Out for Delivery,466,45,12.9,38,Heavy,123,73.34,Weather,0,RFID112504,True,Yes
2026-05-04 07:56:12.733523,TRUCK695,SHP8898,35.164909,139.263041,Delayed,107,75,13.6,48,Detour,155,72.72,Mechanical Failure,0,RFID576370,True,Yes
2026-05-03 23:29:12.733611,TRUCK183,SHP6021,35.199878,139.43623,Delivered,481,62,23.9,66,Clear,79,86.25,Mechanical Failure,1,RFID786720,True,Yes
2026-05-04 03:35:12.733713,TRUCK735,SHP9439,35.497178,139.152269,Delivered,60,27,21.5,66,Clear,96,90.83,Mechanical Failure,0,RFID157891,False,Yes
2026-05-04 07:18:12.733802,TRUCK231,SHP2179,35.403535,139.118822,Out for Delivery,236,100,23.3,38,Clear,58,84.01,Weather,1,RFID889939,False,Yes
2026-05-03 23:46:12.733885,TRUCK388,SHP5944,35.270624,139.886736,In Transit,209,59,8.6,62,Detour,172,99.3,Mechanical Failure,0,RFID587700,False,Yes
2026-05-04 19:45:12.733969,TRUCK819,SHP7732,35.876955,139.69828,Delivered,312,44,4.9,44,Clear,216,72.71,None,0,RFID254558,False,No
2026-05-04 06:53:12.734055,TRUCK882,SHP5185,35.514014,139.149505,Delivered,115,93,-4.1,85,Moderate,218,64.86,None,0,RFID805911,True,Yes
2026-05-04 04:41:12.734141,TRUCK953,SHP3563,35.129958,139.366093,In Transit,41,85,14.8,80,Clear,201,79.5,None,1,RFID981960,False,No
2026-05-04 20:45:12.734311,TRUCK438,SHP2076,35.79511,139.160323,Delayed,41,80,13.5,84,Clear,229,51.5,Weather,1,RFID134044,False,No
2026-05-04 00:15:12.734551,TRUCK599,SHP6669,35.581533,139.01007,Delayed,257,98,5.7,89,Heavy,52,55.94,Mechanical Failure,1,RFID655727,False,Yes
2026-05-04 08:35:12.734712,TRUCK730,SHP6849,35.509469,139.988579,Delivered,411,16,11.9,87,Clear,139,68.91,Mechanical Failure,1,RFID628625,False,No
2026-05-04 18:38:12.734808,TRUCK371,SHP9026,35.638831,139.885464,In Transit,372,16,-1.6,37,Heavy,215,51.65,Weather,1,RFID205771,False,Yes
2026-05-04 17:48:12.734892,TRUCK160,SHP4292,35.145793,139.416806,In Transit,152,4,23.7,82,Moderate,83,50.57,Weather,1,RFID406096,False,Yes
2026-05-04 03:34:12.734979,TRUCK362,SHP7754,35.71418,139.62853,Delayed,392,116,-2.8,73,Moderate,71,54.15,Weather,1,RFID981570,True,No
2026-05-04 02:07:12.735059,TRUCK429,SHP9845,35.466723,139.148358,Delayed,60,116,8.5,51,Clear,87,98.85,Mechanical Failure,0,RFID447293,False,Yes
2026-05-04 14:28:12.735140,TRUCK128,SHP7789,35.138556,139.794796,Out for Delivery,181,99,-1.0,30,Heavy,67,66.62,Weather,1,RFID623085,False,Yes
2026-05-04 12:28:12.735229,TRUCK539,SHP5006,35.694865,139.41694,Delivered,229,68,20.0,79,Moderate,290,89.8,Weather,0,RFID718698,True,Yes
2026-05-04 09:12:12.735308,TRUCK693,SHP7414,35.404789,139.022742,Delivered,415,56,23.5,63,Detour,116,68.49,None,1,RFID818617,True,Yes
2026-05-04 20:02:12.735425,TRUCK872,SHP8371,35.162604,139.66525,Delayed,394,85,8.0,49,Moderate,74,67.1,Traffic,0,RFID317039,True,Yes
2026-05-04 18:56:12.735504,TRUCK715,SHP4792,35.834734,139.414747,In Transit,56,70,-4.6,51,Heavy,239,87.37,Traffic,0,RFID727727,False,No
2026-05-04 13:20:12.735583,TRUCK816,SHP7123,35.348514,139.550022,Out for Delivery,452,5,21.1,81,Heavy,228,81.19,Mechanical Failure,1,RFID449698,True,Yes
2026-05-04 15:48:12.735659,TRUCK338,SHP8502,35.920302,139.438687,Delayed,440,57,19.8,66,Heavy,225,84.71,Mechanical Failure,0,RFID239875,False,No
2026-05-04 12:11:12.735785,TRUCK419,SHP6018,35.793408,139.551729,Delayed,420,80,6.8,39,Heavy,197,58.0,Mechanical Failure,1,RFID678334,True,No
2026-05-04 00:54:12.735866,TRUCK212,SHP5556,35.642758,139.986477,In Transit,118,21,24.2,44,Detour,139,82.51,Mechanical Failure,0,RFID695015,True,No
2026-05-04 04:27:12.735953,TRUCK732,SHP1847,35.633542,139.115477,Delayed,471,72,12.2,54,Heavy,57,89.77,Weather,0,RFID701844,False,Yes
2026-05-04 13:47:12.736039,TRUCK208,SHP2835,35.557394,139.739454,Out for Delivery,14,94,-4.2,70,Clear,117,66.17,None,0,RFID202531,False,No
2026-05-04 16:48:12.736117,TRUCK519,SHP7039,35.781357,139.793475,In Transit,275,103,8.3,41,Detour,228,95.41,Mechanical Failure,0,RFID575026,False,Yes
2026-05-04 07:33:12.736190,TRUCK131,SHP5003,35.323586,139.214428,Delivered,86,18,16.6,65,Detour,216,52.22,Mechanical Failure,1,RFID980016,False,No
2026-05-04 17:57:12.736408,TRUCK195,SHP5164,35.487839,139.038559,In Transit,352,80,2.5,40,Moderate,259,98.47,Weather,0,RFID609717,False,No
2026-05-04 02:25:12.736490,TRUCK732,SHP3726,35.353259,139.691967,Out for Delivery,206,1,11.9,50,Heavy,80,94.15,Mechanical Failure,1,RFID610617,True,Yes
2026-05-04 01:53:12.736689,TRUCK191,SHP9115,35.087179,139.652254,Out for Delivery,110,48,9.3,77,Heavy,183,96.29,Traffic,0,RFID687973,False,No
2026-05-04 13:13:12.736788,TRUCK485,SHP2026,35.969522,139.779981,Delivered,210,19,-1.1,88,Moderate,108,64.6,Traffic,0,RFID439302,True,Yes
2026-05-04 18:08:12.736888,TRUCK428,SHP1302,35.623499,139.640047,Delivered,170,37,18.6,60,Moderate,183,59.23,Weather,1,RFID107412,True,Yes
2026-05-04 04:58:12.736965,TRUCK700,SHP6108,35.759716,139.342018,Delayed,427,85,11.5,86,Heavy,144,96.89,None,0,RFID325659,False,No
2026-05-04 11:54:12.737039,TRUCK665,SHP5062,35.800047,139.535676,Out for Delivery,458,19,23.9,40,Detour,76,77.26,Weather,0,RFID547843,False,Yes
2026-05-03 23:55:12.737112,TRUCK246,SHP7770,35.957642,139.66935,Out for Delivery,190,104,14.1,46,Detour,110,60.18,Traffic,1,RFID888665,True,No
2026-05-04 02:13:12.737183,TRUCK634,SHP9803,35.29944,139.49325,Out for Delivery,163,7,20.0,66,Moderate,178,89.29,Traffic,0,RFID233358,True,No
2026-05-04 09:41:12.737255,TRUCK857,SHP9843,35.997927,139.085186,Out for Delivery,407,66,21.4,57,Moderate,128,89.04,Traffic,1,RFID247848,True,No
2026-05-04 01:17:12.737377,TRUCK572,SHP9473,35.895152,139.718288,Out for Delivery,391,68,2.4,34,Heavy,120,58.86,None,0,RFID144229,False,No
2026-05-04 05:52:12.737452,TRUCK835,SHP5628,35.377856,139.207426,Out for Delivery,297,56,12.1,76,Detour,231,54.25,Weather,1,RFID221071,False,No
2026-05-04 12:07:12.737524,TRUCK607,SHP9133,35.428564,139.420024,Out for Delivery,279,74,11.3,89,Moderate,233,94.12,Mechanical Failure,0,RFID435762,False,Yes
2026-05-04 13:36:12.737638,TRUCK476,SHP5966,35.760769,139.880545,Delayed,150,90,14.7,82,Heavy,84,63.75,Traffic,1,RFID921994,True,No
2026-05-04 03:17:12.737714,TRUCK595,SHP6533,35.36417,139.457608,Out for Delivery,22,39,9.1,49,Detour,90,77.64,None,1,RFID903170,True,No
