timestamp,carrier,tracking_number,package_id,origin,current_location,delivery_location,prefecture,latitude,longitude,latest_status,logistics_delay_reason,logistics_delay,order_date,expected_delivery_date,waiting_time_minutes,perishable,temperature,humidity,rfid_tag,rfid_verified,tamper_alert,traffic_status,inventory_level,asset_utilization
2026-05-04 13:50:26.857905,Yamato Transport,942646961460,PKG7545,Tokyo,Naha Central Post Office,Tokyo,Kanagawa,35.993159,139.038781,Out for Delivery,None,0,2026-04-29 23:26:26.858009,2026-05-05 23:26:26.858015,45,No,10.7,40,RFID736892,False,No,Heavy,99,84.59
2026-05-03 23:36:26.858095,Japan Post,74355111775,PKG2659,Tokyo,Nagoya Central Post Office,Kyoto,Kanagawa,35.691292,139.13087,Arrival,None,0,2026-04-28 23:26:26.858141,2026-05-07 23:26:26.858146,54,Yes,6.2,82,RFID156229,False,Yes,Detour,363,53.39
2026-05-04 08:32:26.858217,Japan Post,217497030475,PKG7965,Osaka,Nagoya Central Post Office,Osaka,Aichi,35.591109,139.78494,Storage,None,1,2026-05-03 23:26:26.858267,2026-05-08 23:26:26.858271,144,Yes,-3.1,86,RFID890703,True,Yes,Heavy,25,95.75
2026-05-04 02:35:26.858332,Japan Post,249781996688,PKG5296,Fukuoka,Sapporo Central Post Office,Sapporo,Osaka,35.57044,139.689163,Delivered to the delivery address,None,0,2026-05-03 23:26:26.858370,2026-05-05 23:26:26.858374,173,Yes,6.3,87,RFID603182,True,Yes,Detour,145,63.84
2026-05-04 08:28:26.858444,Japan Post,718415724062,PKG9987,Fukuoka,Yokohama Sales Office,Sapporo,Hokkaido,35.679375,139.408071,Bring it back due to your absence,Address Unknown,1,2026-05-03 23:26:26.858492,2026-05-07 23:26:26.858501,82,No,0.7,60,RFID921432,False,Yes,Detour,34,56.28
2026-05-04 13:55:26.858571,Yamato Transport,515094725815,PKG8392,Osaka,Nagoya Central Post Office,Kyoto,Aichi,35.29553,139.613522,Hold at Yamato,None,0,2026-04-28 23:26:26.858609,2026-05-08 23:26:26.858613,149,Yes,2.5,61,RFID198444,True,Yes,Detour,26,91.27
2026-05-04 02:25:26.858672,Yamato Transport,185491035173,PKG2808,Tokyo,Naha Central Post Office,Yokohama,Tokyo,35.020596,139.954487,Delay,Recipient Not Available,1,2026-05-01 23:26:26.858720,2026-05-07 23:26:26.858723,32,Yes,0.9,48,RFID842741,True,Yes,Detour,374,88.96
2026-05-04 10:39:26.858786,Japan Post,649836849815,PKG1749,Tokyo,Fukuoka Distribution Center,Yokohama,Osaka,35.751382,139.886165,Arrival,None,0,2026-05-02 23:26:26.858823,2026-05-07 23:26:26.858827,126,Yes,19.6,34,RFID557452,False,No,Heavy,97,91.67
2026-05-04 17:24:26.858884,Japan Post,453810963110,PKG1803,Tokyo,Sapporo Central Post Office,Sapporo,Tokyo,35.026042,139.407757,Hand it over at the window,None,0,2026-05-03 23:26:26.858921,2026-05-05 23:26:26.858924,20,Yes,22.6,55,RFID850537,False,Yes,Heavy,108,98.47
2026-05-04 06:39:26.858989,Yamato Transport,970232969278,PKG2151,Osaka,Yokohama Sales Office,Yokohama,Osaka,35.231737,139.375286,In Transit,None,0,2026-05-01 23:26:26.859026,2026-05-06 23:26:26.859030,115,No,23.0,89,RFID548998,True,No,Clear,248,70.72
2026-05-04 01:59:26.859101,Yamato Transport,634920918126,PKG2585,Tokyo,Yokohama Sales Office,Yokohama,Fukuoka,35.576419,139.356037,Arrival Scan,None,0,2026-05-02 23:26:26.859138,2026-05-05 23:26:26.859141,81,Yes,8.3,73,RFID776642,True,Yes,Detour,487,61.43
2026-05-04 07:26:26.859198,Japan Post,562400726842,PKG7157,Fukuoka,Yokohama Sales Office,Osaka,Hokkaido,35.824823,139.42452,Hand it over at the window,None,0,2026-04-29 23:26:26.859235,2026-05-08 23:26:26.859239,8,Yes,1.0,51,RFID328313,True,Yes,Moderate,359,92.78
2026-05-04 14:26:26.859316,Japan Post,372788659208,PKG5612,Osaka,Naha Central Post Office,Tokyo,Hokkaido,35.193411,139.177834,Bring it back due to your absence,Weather,1,2026-05-03 23:26:26.859359,2026-05-05 23:26:26.859363,90,Yes,4.4,48,RFID934425,False,No,Detour,209,86.99
2026-05-04 14:10:26.859419,Yamato Transport,956564328019,PKG2377,Nagoya,Osaka Central Post Office,Sapporo,Okinawa,35.090339,139.29003,Returned,Weather,1,2026-04-30 23:26:26.859462,2026-05-08 23:26:26.859466,46,No,9.4,81,RFID870703,False,Yes,Detour,443,99.95
2026-05-03 23:59:26.859523,Yamato Transport,512514679902,PKG3244,Nagoya,Fukuoka Distribution Center,Sapporo,Hokkaido,35.319761,139.951575,Returned,Weather,1,2026-04-28 23:26:26.859566,2026-05-08 23:26:26.859570,52,No,2.0,60,RFID481352,False,No,Moderate,142,99.01
2026-05-04 14:32:26.859641,Japan Post,373203374927,PKG4196,Tokyo,Naha Central Post Office,Osaka,Hokkaido,35.885755,139.309182,Storage,None,1,2026-04-29 23:26:26.859685,2026-05-07 23:26:26.859688,142,Yes,14.5,62,RFID210093,False,No,Moderate,284,75.57
2026-05-04 22:39:26.859745,Yamato Transport,380364816036,PKG8850,Fukuoka,Nagoya Central Post Office,Osaka,Okinawa,35.020891,139.920678,Delivered,None,0,2026-05-02 23:26:26.859781,2026-05-06 23:26:26.859784,123,Yes,11.1,51,RFID242751,False,No,Heavy,466,83.72
2026-05-04 10:21:26.859840,Yamato Transport,201098791529,PKG8659,Fukuoka,Fukuoka Distribution Center,Tokyo,Aichi,35.668773,139.442764,Hold at Yamato,None,0,2026-04-30 23:26:26.859876,2026-05-08 23:26:26.859880,40,No,21.1,88,RFID954698,True,No,Detour,172,88.14
2026-05-04 21:51:26.859936,Japan Post,605288587251,PKG1347,Nagoya,Nagoya Central Post Office,Tokyo,Hokkaido,35.164163,139.339739,Returned to the sender,None,0,2026-04-30 23:26:26.859972,2026-05-07 23:26:26.859975,69,No,18.8,76,RFID434016,True,No,Clear,497,89.47
2026-05-04 20:23:26.860031,Yamato Transport,951683390594,PKG8088,Osaka,Tokyo Central Post Office,Kyoto,Tokyo,35.404487,139.486072,Under Investigation,Weather,1,2026-05-03 23:26:26.860073,2026-05-06 23:26:26.860077,115,No,8.7,37,RFID379408,False,Yes,Clear,378,67.05
2026-05-04 20:40:26.860146,Yamato Transport,717501338780,PKG2762,Osaka,Yokohama Sales Office,Osaka,Tokyo,35.199268,139.442597,Arrival Scan,None,0,2026-04-28 23:26:26.860183,2026-05-05 23:26:26.860187,62,Yes,-2.5,77,RFID738850,False,No,Detour,244,54.16
2026-05-04 22:54:26.860243,Japan Post,694718996115,PKG8577,Tokyo,Naha Central Post Office,Tokyo,Fukuoka,35.420519,139.87234,Hand it over at the window,None,0,2026-04-30 23:26:26.860279,2026-05-05 23:26:26.860283,30,Yes,0.7,36,RFID989012,False,No,Clear,491,68.08
2026-05-04 20:08:26.860339,Yamato Transport,812117597619,PKG5517,Tokyo,Yokohama Sales Office,Osaka,Fukuoka,35.058882,139.854841,Delay,Address Unknown,1,2026-05-01 23:26:26.860382,2026-05-08 23:26:26.860385,55,No,-2.4,85,RFID340132,False,No,Clear,447,62.92
2026-05-04 02:12:26.860441,Japan Post,558290207551,PKG7409,Fukuoka,Sapporo Central Post Office,Kyoto,Okinawa,35.037941,139.528038,Arrival,None,0,2026-04-29 23:26:26.860487,2026-05-07 23:26:26.860491,142,Yes,2.3,65,RFID810676,True,Yes,Moderate,412,60.01
2026-05-04 04:23:26.860547,Yamato Transport,794168150969,PKG5985,Nagoya,Tokyo Central Post Office,Sapporo,Osaka,35.170314,139.126097,Returned,Address Unknown,1,2026-04-30 23:26:26.860590,2026-05-08 23:26:26.860593,29,Yes,4.3,61,RFID220712,False,No,Detour,41,57.81
2026-05-04 13:12:26.860649,Yamato Transport,124122705442,PKG2775,Fukuoka,Osaka Central Post Office,Tokyo,Aichi,35.788338,139.986287,Under Investigation,Traffic,1,2026-04-29 23:26:26.860691,2026-05-05 23:26:26.860695,55,No,3.2,61,RFID783350,False,Yes,Moderate,387,74.4
