package_id,tracking_number,timestamp,Origin Location,Origin City,Origin Prefecture,Origin Longitude,Origin Latitude,Order Date,Current Location,Estimated Delivery Date,Delivery Exception Reason,Status,Perishable,Temperature,Temperature Issue,Current Longitude,Current Latitude,Delivery Longitude,Delivery Latitude,Delivery City,Delivery Prefecture,Route Distance KM,Estimated Transit Hours,RFID #,RFID Verified,RFID Failure %,RFID Failure Label,RFID Success %,RFID Success Label,Order Week,Estimated Delivery Duration Hours,Delivery Performance,RFID Reliability Category
PKG033,KZJP2026000033,2026-05-04 11:51:30.417739,"Ichihara, Chiba",Ichihara,Chiba,140.110900,35.727200,2026-05-03 10:41:01.319632,"Kofu, Yamanashi",2026-05-04 20:13:22.439322,None,Delivered,NO,25.60,Ambient,138.673600,35.721400,138.673600,35.721400,Kofu,Yamanashi,129.75,33.54,RFID-KZ-0033,YES,1.98,Low Risk,98.02,Excellent,"May 3-9, 2026",33.54,Delivered,Excellent
PKG023,KZJP2026000023,2026-05-04 19:54:40.370163,"Ureshino, Saga",Ureshino,Saga,130.363900,33.365600,2026-05-03 07:38:33.276989,"Sakaide, Kagawa",2026-05-04 22:43:34.108125,None,Delivered,YES,6.50,Cool,133.976000,34.439800,133.976000,34.439800,Sakaide,Kagawa,354.09,39.08,RFID-KZ-0023,YES,0.91,Low Risk,99.09,Excellent,"May 3-9, 2026",39.08,Delivered,Excellent
PKG001,KZJP2026000001,2026-05-05 01:20:39.131540,"Yokote, Akita",Yokote,Akita,140.031900,39.815600,2026-05-03 22:25:43.823106,"Minamisoma, Fukushima",2026-05-05 02:18:47.636072,None,Delivered,NO,16.20,Ambient,140.432800,37.864800,140.432800,37.864800,Minamisoma,Fukushima,219.68,27.88,RFID-KZ-0001,YES,2.66,Low Risk,97.34,Excellent,"May 3-9, 2026",27.88,Delivered,Excellent
PKG039,KZJP2026000039,2026-05-05 09:19:14.119968,"Kazuno, Akita",Kazuno,Akita,140.195600,39.642800,2026-05-03 10:32:15.317110,"Hida, Gifu",2026-05-05 12:53:28.111558,None,Delivered,NO,23.10,Ambient,136.764200,35.535500,136.764200,35.535500,Hida,Gifu,547.61,50.35,RFID-KZ-0039,YES,0.92,Low Risk,99.08,Excellent,"May 3-9, 2026",50.35,Delivered,Excellent
PKG002,KZJP2026000002,2026-05-05 09:27:46.895510,"Etajima, Hiroshima",Etajima,Hiroshima,132.416900,34.276600,2026-05-04 07:17:03.020266,"Transit Scan near Ogori, Fukuoka",2026-05-06 04:27:51.066871,Shipment still within estimated delivery window,In Transit,YES,5.60,Cool,131.486039,33.920485,130.520000,33.570300,Ogori,Fukuoka,191.83,45.18,RFID-KZ-0002,YES,2.65,Low Risk,97.35,Excellent,"May 3-9, 2026",45.18,In Transit,Excellent
PKG038,KZJP2026000038,2026-05-05 15:25:33.695454,"Chuo, Tokyo",Chuo,Tokyo,139.718000,35.806600,2026-05-05 08:02:21.344755,"Mitaka, Tokyo",2026-05-06 00:12:37.997713,None,Delivered,NO,21.70,Ambient,139.593300,35.620900,139.593300,35.620900,Mitaka,Tokyo,23.52,16.17,RFID-KZ-0038,YES,2.10,Low Risk,97.90,Excellent,"May 3-9, 2026",16.17,Delivered,Excellent
PKG048,KZJP2026000048,2026-05-06 03:23:16.354896,"Katsuyama, Fukui",Katsuyama,Fukui,136.134500,35.982700,2026-05-04 07:28:34.957924,"Shingu, Wakayama",2026-05-06 00:05:50.963962,None,Delivered,NO,15.70,Ambient,135.263900,34.154700,135.263900,34.154700,Shingu,Wakayama,218.16,40.62,RFID-KZ-0048,YES,2.44,Low Risk,97.56,Excellent,"May 3-9, 2026",40.62,Delivered,Excellent
PKG043,KZJP2026000043,2026-05-06 12:15:35.230762,"Shizuoka, Shizuoka",Shizuoka,Shizuoka,138.487800,35.033100,2026-05-04 10:35:47.761226,"Yukuhashi, Fukuoka",2026-05-06 09:28:42.420598,None,Delivered,YES,4.80,Cool,130.292400,33.540700,130.292400,33.540700,Yukuhashi,Fukuoka,770.75,46.88,RFID-KZ-0043,YES,0.73,Low Risk,99.27,Excellent,"May 3-9, 2026",46.88,Delivered,Excellent
PKG037,KZJP2026000037,2026-05-06 16:22:14.872867,"Hitachiomiya, Ibaraki",Hitachiomiya,Ibaraki,140.473100,36.224300,2026-05-04 18:49:39.876246,"Tsuruga, Fukui",2026-05-06 11:37:23.795346,None,Delivered,NO,24.40,Ambient,136.247900,36.182300,136.247900,36.182300,Tsuruga,Fukui,379.11,40.80,RFID-KZ-0037,YES,1.58,Low Risk,98.42,Excellent,"May 3-9, 2026",40.80,Delivered,Excellent
PKG003,KZJP2026000003,2026-05-06 17:43:21.460887,"Koriyama, Fukushima",Koriyama,Fukushima,140.397200,37.847000,2026-05-05 03:33:41.939518,"Kikugawa, Shizuoka",2026-05-06 16:57:58.020909,None,Delivered,NO,20.90,Ambient,138.408800,34.858500,138.408800,34.858500,Kikugawa,Shizuoka,376.98,37.40,RFID-KZ-0003,YES,0.28,Low Risk,99.72,Excellent,"May 3-9, 2026",37.40,Delivered,Excellent
