timestamp,package_id,current_location,temperature,temperature_celsius,status,waiting_time,traffic_status,tamper_alert
2026-06-05 10:34:02,SHP4147,,,,Out for Delivery,75,Clear,No
2026-06-05 10:34:03,SHP4147,,20.8°C,20.8,,75,Clear,No
2026-06-05 10:34:05,SHP4147,,,,,75,Clear,No
2026-06-05 10:34:07,SHP6541,,,,In Transit,33,Detour,Yes
2026-06-05 10:34:08,SHP6541,,17.3°C,17.3,,33,Detour,Yes
2026-06-05 10:34:09,SHP6541,,,,,33,Detour,Yes
2026-06-05 10:34:11,SHP8910,,,,Out for Delivery,106,Heavy,No
2026-06-05 10:34:12,SHP8910,,8.3°C,8.3,,106,Heavy,No
2026-06-05 10:34:14,SHP8910,,,,,106,Heavy,No
2026-06-05 10:34:15,SHP8090,,,,Out for Delivery,85,Heavy,Yes
2026-06-05 10:34:17,SHP8090,,1.0°C,1.0,,85,Heavy,Yes
2026-06-05 10:34:18,SHP8090,,,,,85,Heavy,Yes
2026-06-05 10:34:20,SHP5767,,,,In Transit,97,Heavy,No
2026-06-05 10:34:21,SHP5767,,-0.2°C,-0.2,,97,Heavy,No
2026-06-05 10:34:23,SHP5767,,,,,97,Heavy,No
2026-06-05 10:34:24,SHP2407,,,,In Transit,2,Moderate,Yes
2026-06-05 10:34:26,SHP2407,,16.4°C,16.4,,2,Moderate,Yes
2026-06-05 10:34:27,SHP2407,,,,,2,Moderate,Yes
2026-06-05 10:34:29,SHP6770,,,,Delayed,75,Clear,Yes
2026-06-05 10:34:31,SHP6770,,0.5°C,0.5,,75,Clear,Yes
2026-06-05 10:34:32,SHP6770,,,,,75,Clear,Yes
2026-06-05 10:34:34,SHP4992,,,,Out for Delivery,73,Moderate,No
2026-06-05 10:34:35,SHP4992,,16.5°C,16.5,,73,Moderate,No
2026-06-05 10:34:37,SHP4992,,,,,73,Moderate,No
2026-06-05 10:34:38,SHP8087,,,,In Transit,77,Detour,No
2026-06-05 10:34:40,SHP8087,,-0.9°C,-0.9,,77,Detour,No
2026-06-05 10:34:42,SHP8087,,,,,77,Detour,No
2026-06-05 10:34:43,SHP7190,,,,Delayed,17,Moderate,No
2026-06-05 10:34:45,SHP7190,,1.1°C,1.1,,17,Moderate,No
2026-06-05 10:34:47,SHP7190,,,,,17,Moderate,No
2026-06-05 10:34:48,SHP8199,,,,Delivered,68,Moderate,Yes
2026-06-05 10:34:50,SHP8199,,6.8°C,6.8,,68,Moderate,Yes
2026-06-05 10:34:52,SHP8199,,,,,68,Moderate,Yes
2026-06-05 10:34:54,SHP9670,,,,Delayed,0,Clear,No
2026-06-05 10:34:56,SHP9670,,15.5°C,15.5,,0,Clear,No
