hour,data_type,reading_count,average_value,median_value,minimum_value,maximum_value,missing_value_count,inconsistency_count,outlier_count
2025-03-04 20:00:00,Energy,1,22.5,22.5,22.5,22.5,0,1,0
2025-03-04 21:00:00,Humidity,1,45.0,45.0,45.0,45.0,0,0,0
2025-03-04 22:00:00,Temperature,1,18.3,18.3,18.3,18.3,0,1,0
2025-03-04 23:00:00,Humidity,1,45.0,45.0,45.0,45.0,1,0,0
2025-03-05 00:00:00,Humidity,1,23.1,23.1,23.1,23.1,0,1,0
2025-03-05 01:00:00,Humidity,1,50.0,50.0,50.0,50.0,0,0,0
2025-03-05 02:00:00,Humidity,1,19.0,19.0,19.0,19.0,0,1,0
2025-03-05 03:00:00,Temperature,1,24.0,24.0,24.0,24.0,0,0,0
2025-03-05 04:00:00,Temperature,1,21.15,21.15,21.15,21.15,1,0,0
2025-03-05 05:00:00,Humidity,1,47.0,47.0,47.0,47.0,0,0,0
