timestamp,device_id,data_type,data_value,hour,data_value_raw,numeric_value,unit_text,is_duplicate,is_inconsistent,is_outlier,numeric_value_filled
2025-03-04 20:41:46.466097,Device_4,Energy,22.5°C,2025-03-04 20:00:00,22.5°C,22.5,°C,False,True,False,22.5
2025-03-04 21:41:46.466095,Device_5,Humidity,45%,2025-03-04 21:00:00,45%,45.0,%,False,False,False,45.0
2025-03-04 22:41:46.466093,Device_3,Temperature,18.3 kWh,2025-03-04 22:00:00,18.3 kWh,18.3,kWh,False,True,False,18.3
2025-03-04 23:41:46.466090,Device_5,Humidity,,2025-03-04 23:00:00,,,,False,False,False,45.0
2025-03-05 00:41:46.466089,Device_5,Humidity,23.1°C,2025-03-05 00:00:00,23.1°C,23.1,°C,False,True,False,23.1
2025-03-05 01:41:46.466087,Device_2,Humidity,50%,2025-03-05 01:00:00,50%,50.0,%,False,False,False,50.0
2025-03-05 02:41:46.466086,Device_3,Humidity,19.0 kWh,2025-03-05 02:00:00,19.0 kWh,19.0,kWh,False,True,False,19.0
2025-03-05 03:41:46.466084,Device_3,Temperature,24.0°C,2025-03-05 03:00:00,24.0°C,24.0,°C,False,False,False,24.0
2025-03-05 04:41:46.466069,Device_3,Temperature,,2025-03-05 04:00:00,,,,False,False,False,21.15
2025-03-05 05:41:46.466061,Device_5,Humidity,47%,2025-03-05 05:00:00,47%,47.0,%,False,False,False,47.0
